lang	clemma	op	synset	verdict	reason	n_occurrences
ces	sorry	=	80000667-x	GOOD	Matches interjection phrase	1
ces	story	=	06369829-n	BAD	Not fiction; real-event narrative	1
ces	story	=	07221094-n	GOOD	Matches narrative-of-events sense	1
ces	tuan	=	10601451-n	GOOD	"Malay honorific matches ""sir"""	2
ces	třicet	=	02189306-a	GOOD	Numeral usage matches	1
ces	třást	=	00014201-v	GOOD	"Matches ""shiver/shudder"""	1
ces	v	=	01295143-a	BAD	"Locative preposition, not ""fashionable"" sense"	3
ces	v	=	01770252-v	BAD	"Preposition unrelated to ""impress"" verb"	1
ces	v	=	80000823-r	BAD	"Not temporal ""when"" usage here"	1
ces	very	=	00031899-r	GOOD	Direct match	2
ces	via	=	00043794-r	UNSURE	Route vs source sense unclear	1
ces	via	=	01003536-a	BAD	"Confuses ""via"" with ""through/done"" completion"	1
ces	what	=	76000000-x	GOOD	Matches surprise interjection	1
ces	word	=	06738162-n	BAD	"Idiom means ""promise,"" not generic statement"	1
ces	worth	=	02500884-a	GOOD	"Matches ""valuable"""	1
ces	yah	=	80001930-x	GOOD	"Variant of ""yeah"" matches"	1
ces	you	=	77000021-n	GOOD	English pronoun matches	1
ces	your	=	77000024-a	GOOD	English possessive matches	1
ces	z	=	00043794-r	GOOD	"z matches ""from"" source sense"	1
ces	čtvrthodinný	=	15234942-n	BAD	Adjective mapped to noun time-unit synset	1
ces	čtyřicet	=	13749527-n	GOOD	Numeral usage matches	1
ces	šedesát	=	02192184-a	GOOD	Numeral usage matches	1
ces	šestnáct	=	02187903-a	GOOD	Numeral adjective usage	1
ces	šestnáct	=	13747606-n	GOOD	Numeral noun usage	1
ces	šestý	=	02202854-a	GOOD	Ordinal usage matches	2
ces	šicí	=	04179385-n	BAD	Adjective mapped to noun synset	1
ces	ščór	=	01770393-n	GOOD	Dialectal spelling of scorpion	2
cmn	Carl ’ s Junior	=	80000144-n	GOOD	exact NE name match	2
cmn	Cuisine	=	07571324-n	BAD	part of proper name, not generic cuisine	3
cmn	Doubt	=	07459066-n	BAD	"fragment of band name ""No Doubt"", unrelated sense"	1
cmn	Entertainment	=	04202417-n	BAD	not visible in text, wrong sense for shop	1
cmn	Fountain	=	04202417-n	BAD	"part of zone name ""Fountain Terrace"", not shop"	1
cmn	Galleria	=	04202417-n	BAD	proper zone name, not generic shop	1
cmn	Hanabi	=	03348454-n	BAD	restaurant proper noun, not literal firework	1
cmn	Hari	=	15157225-n	BAD	"fragment of MWE ""Hari Raya Haji"", not standalone day"	1
cmn	Hijrah	=	11184092-n	BAD	Hijrah is an event, not the person Mohammed	1
cmn	Hijrah	~	00311687-n	BAD	migration, not journey to sacred place	1
cmn	Katong	=	80000635-n	GOOD	exact place-name match	2
cmn	Katong	=	90000048-n	BAD	"fragment of ""Katong Antique House"""	1
cmn	Kitchen	=	03619890-n	BAD	part of restaurant proper names, not literal kitchen	2
cmn	Lai	=	01409581-a	GOOD	"Singlish ""lai dat"" = like that, per annotator"	1
cmn	Little	=	08997487-n	BAD	adjective fragment of nickname, not Singapore itself	1
cmn	Little	=	80000640-a	GOOD	"matches ""little/small"" custom synset"	1
cmn	Little	=	90000140-n	BAD	"fragment of store name ""John Little"""	3
cmn	Little	=	90000226-n	BAD	"fragment of ""Little India"" place name"	4
cmn	Miss	=	10129825-n	BAD	"part of brand names ""Miss Selfridge/Sixty"""	2
cmn	No	=	90000075-n	BAD	"fragment of restaurant name ""No Signboard Seafood"""	2
cmn	Orchard	=	90000228-n	BAD	"from ""Orchard Central"" mall, not Orchard Road itself"	6
cmn	Rice	=	07804323-n	BAD	fragment of restaurant proper name	1
cmn	Terrace	=	04202417-n	BAD	"part of zone name ""Fountain Terrace"", not shop"	1
cmn	Tiong	=	80000152-n	BAD	fragment of restaurant/place name	1
cmn	Tropics	=	04202417-n	BAD	proper zone name, not generic shop	1
cmn	[	=	06842290-n	GOOD	literal bracket punctuation	40
cmn	batik	=	00288814-v	BAD	nominal usage tagged to verb synset	1
cmn	big	=	00225892-r	BAD	English word, wrong POS, not Chinese lemma	1
cmn	market	=	03461385-n	BAD	English gloss word, wrong language for cmn lemma	1
cmn	sayur lodeh	=	80002007-n	GOOD	matches own-language lemma exactly	1
cmn	teh	<	07933274-n	GOOD	teh tarik is a lexicalised hyponym of tea	2
cmn	teh	~	01243298-v	BAD	"clemma ""teh"" mismatched with ""pull"" sense (tarik)"	2
cmn	up	=	00018813-v	BAD	"fragment of English ""wake up"" quote, not cmn word"	1
cmn	wet	=	14535431-n	BAD	English gloss adjective tagged to noun synset	1
cmn	〔	=	06842290-n	GOOD	literal bracket punctuation	4
cmn	一	=	02202047-a	GOOD	"ordinal ""first"" sense plausible"	1
cmn	一	=	07308889-n	BAD	"一 means one, not ""instance/occurrence"""	1
cmn	一 个	=	02064427-a	BAD	"indefinite article ""a"", not ""identical/same"""	1
cmn	一 个 面包	=	02186338-a	BAD	compositional phrase, needs splitting per note	2
cmn	一 个 面包	=	07679356-n	BAD	compositional phrase, needs splitting per note	2
cmn	一 份	=	07578363-n	GOOD	"matches ""a serving/portion"" sense"	1
cmn	一 场	=	02186338-a	BAD	compositional, annotator says tag separately	12
cmn	一 景	=	07360841-n	BAD	compositional, annotator says separate into parts	1
cmn	一 景	=	13742573-n	BAD	compositional, annotator says separate into parts	1
cmn	一 队	=	02036755-v	BAD	wrong word extracted, real target is 排队	1
cmn	一下	=	00181342-r	BAD	"means ""a bit/briefly"", not ""once/as soon as"""	1
cmn	一举	=	00165942-n	GOOD	"in one move/stroke fits ""move"" sense"	1
cmn	一举	=	05637965-n	BAD	in one stroke does not mean ability	1
cmn	一九二五年	=	15204297-n	BAD	"specific year tagged as generic ""year"" synonym"	1
cmn	一九八三年	=	15204297-n	BAD	"specific year tagged as generic ""year"" synonym"	1
cmn	一九八二年	=	15204297-n	BAD	"specific year tagged as generic ""year"" synonym"	1
cmn	一八八九年	=	15204297-n	BAD	"specific year tagged as generic ""year"" synonym"	1
cmn	一向	=	00019339-r	GOOD	"matches ""always/at all times"""	1
cmn	一场	=	02186338-a	BAD	compositional, annotator says tag separately	1
cmn	一方	=	02186338-a	BAD	explicit tokenisation error per annotator	1
cmn	一方	=	08642037-n	BAD	explicit tokenisation error per annotator	1
cmn	一日	<	15157225-n	GOOD	1st-of-month as hyponym of day, consistent scheme	7
cmn	一时	=	00088303-r	GOOD	"matches ""temporarily"""	1
cmn	一时	=	00092814-r	BAD	extended duration, not momentary instant	1
cmn	一来	=	00036762-r	BAD	"fragment of ""如此一来"", not standalone"	1
cmn	一而再	=	01755024-a	BAD	"means ""repeatedly"", not ""perpetual/eternal"""	1
cmn	一行	=	00582388-n	GOOD	一行 = a line of work/profession	1
cmn	一行	=	02070188-a	BAD	another meaning carried by 另外, not 一行	1
cmn	一行	=	08433447-n	GOOD	"matches ""a row"" of items"	6
cmn	七日	<	15157225-n	GOOD	7th-of-month as hyponym of day, consistent scheme	1
cmn	七连冠	=	08460847-n	BAD	specific 7-streak tagged as generic winning-streak synonym	1
cmn	万无一失	=	00631391-a	BAD	"means ""infallible/foolproof"", not just ""correct"""	1
cmn	万能主义	=	08364143-n	BAD	"market fundamentalism narrower than ""capitalism"""	1
cmn	万黛兰	=	80001397-n	BAD	missing cultivar prefix 卓锦, too generic	1
cmn	三十一日	<	15157225-n	GOOD	31st-of-month as hyponym of day	27
cmn	三十一日	<	15159583-n	GOOD	"matches ""date/day of month"" well"	1
cmn	三十日	<	15157225-n	GOOD	30th-of-month as hyponym of day	5
cmn	三十日	<	15159583-n	GOOD	"matches ""date/day of month"" well"	1
cmn	三十日	=	15157225-n	BAD	specific day tagged as generic day synonym, wrong op	1
cmn	三点	<	00197182-r	GOOD	three o'clock hyponym of o'clock	1
cmn	上	=	00080169-r	GOOD	"directional complement meaning ""up"""	2
cmn	上	=	01849221-v	BAD	"上 alone doesn't mean ""come"""	1
cmn	上	=	02484208-a	BAD	comment refers to different character 升, mismatch	1
cmn	上	=	02484638-a	BAD	comment refers to different character 升, mismatch	1
cmn	上	=	06325145-n	BAD	"content word tagged to abstract ""preposition"" synset"	1
cmn	上	=	09436708-n	BAD	fragment of 天上, not 上 alone	1
cmn	上	=	80000825-v	BAD	comment indicates 去 not 上 is the match	2
cmn	上去	=	00080169-r	GOOD	"directional complement meaning ""upward"""	1
cmn	上去	=	80000825-v	GOOD	"carries ""go"" motion component"	1
cmn	上层	=	10676018-n	BAD	fragment of MWE 上层人物	1
cmn	不	=	02021532-v	BAD	explicit tokenisation error per annotator	1
cmn	不仅仅	=	00004722-r	BAD	"polarity mismatch: ""not only"" vs ""merely"""	1
cmn	不仅仅	=	00008600-r	BAD	"polarity mismatch: ""not only"" vs ""exclusively"""	1
cmn	不光	=	00004722-r	BAD	needs NEG decomposition per annotator	1
cmn	不加	=	00024073-r	BAD	"whole phrase loses ""add"" component"	3
cmn	不加	=	00182406-v	BAD	"polarity mismatch, ""not add"" vs ""add"""	3
cmn	不尽	=	00008007-r	BAD	"polarity mismatch, ""not entirely"" vs ""wholly"""	1
cmn	不尽	=	00024073-r	BAD	needs separate tokenisation per annotator	1
cmn	不得了	=	01050088-a	GOOD	"idiom matches ""terrible/disastrous"" sense"	1
cmn	不至于	=	00098959-r	BAD	needs NEG decomposition per annotator	6
cmn	不见得	=	00024073-r	BAD	"needs splitting, loses ""definitely"" component"	2
cmn	不见得	=	00144722-r	BAD	"polarity mismatch, ""not necessarily"" vs ""certainly"""	2
cmn	世	=	70100049-a	BAD	fragment of MWE 风靡一世	1
cmn	世界 保健 机构	=	08302724-n	GOOD	full compound correctly names WHO	1
cmn	业绩	=	00035189-n	GOOD	"matches ""accomplishment/achievement"""	1
cmn	东	=	08002717-n	BAD	fragment of MWE 东印度公司	1
cmn	中	=	00062650-r	BAD	fragment of MWE 无意中	1
cmn	中	=	05945642-n	BAD	"locative ""within"" does not mean ""opinion"""	1
cmn	中	~	05125377-n	GOOD	"locative ""within"" loosely relates to scope/range"	1
cmn	中举	=	00816324-a	BAD	explicit tokenisation error per annotator	1
cmn	中举	=	01716112-v	BAD	tokenization error; 举 part of 举办 MWE	1
cmn	中元	=	80001530-n	GOOD	中元 is common shorthand for Ghost Festival	1
cmn	中国籍	=	09698108-n	BAD	means Chinese nationality, not a Chinese person	2
cmn	中立国	~	10355142-n	GOOD	neutral country is lexicalised, right neighbourhood	2
cmn	中转站	=	01109467-n	BAD	tokenization error, comment says split 中转/站	2
cmn	中转站	=	04306080-n	BAD	whole word not synonym, comment says split	2
cmn	中间	=	15225668-n	BAD	"中间 alone is just ""middle"", not midterm"	4
cmn	丹尼斯・康纳队	=	00031264-n	BAD	proper name should separate PER + group	2
cmn	为 人	=	02555434-v	BAD	"annotator notes ""Not 为人"", tokenization error"	1
cmn	为 人	=	02735897-v	BAD	"annotator notes ""Not 为人"", tokenization error"	1
cmn	主旋律	=	01277426-a	BAD	wrong POS, whole noun tagged as adjective	1
cmn	主旋律	=	07086518-n	BAD	compositional, comment says split 主+旋律	1
cmn	主驱动	=	01277426-a	BAD	wrong POS, compositional, comment says split	1
cmn	主驱动	=	03243218-n	BAD	"compositional master-drive, not plain ""drive"""	1
cmn	举出	=	01015866-v	GOOD	"举出 fits ""cite, adduce evidence"""	1
cmn	举出	=	01023574-v	GOOD	"举出 fits ""cite, quote for illustration"""	1
cmn	之下	=	00486384-r	GOOD	"之下 matches ""under, subordination"" sense"	1
cmn	之刑	=	01160342-n	BAD	tokenization error, real lemma is 刑 alone	1
cmn	乌	=	80000289-n	BAD	truncated word, actual term is 乌打	1
cmn	九一年	=	15203791-n	BAD	"specific year, not generic ""year"" synonym"	2
cmn	九五年	<	15203791-n	GOOD	specific year 1995 as hyponym of year	1
cmn	九连冠	~	08460847-n	GOOD	nine-peat lexicalised, related to winning streak	1
cmn	也	=	00031515-r	BAD	"也 alone doesn't mean ""no longer"""	1
cmn	了	=	00031798-r	BAD	"了 is aspect particle, not ""already"""	2
cmn	事	~	80001162-v	BAD	"MWE 费事 mistagged, 事 alone isn't ""effort"""	1
cmn	事务	=	00584367-n	GOOD	"事务 fits ""work; employment"" sense"	2
cmn	事务级	=	02991463-a	BAD	compositional, comment says split 事务/级	1
cmn	事务级	=	14428160-n	BAD	compositional, comment says split 事务/级	1
cmn	二十 年	=	13748128-n	GOOD	"二十 component correctly matches ""twenty"""	1
cmn	二十 年	=	15203791-n	GOOD	"年 component correctly matches ""year"""	1
cmn	二十七日	=	15155220-n	BAD	specific date, not generic 24-hour period	1
cmn	二十三日	<	15157225-n	BAD	wrong sense, is a date not observance day	1
cmn	二十八日	<	15157225-n	BAD	wrong sense, is a date not observance day	2
cmn	二十八日	<	15159583-n	GOOD	"specific date, correct hyponym of ""date"""	1
cmn	二十六日	<	15157225-n	BAD	wrong sense, is a date not observance day	2
cmn	五日	<	15157225-n	BAD	date reference, wrong sense (observance day)	1
cmn	亚三虾	=	07794159-n	BAD	"compositional dish name, not plain ""shrimp"""	1
cmn	亚三虾	=	80002012-n	BAD	"compositional dish name, not plain ""assam"""	1
cmn	些	=	01552885-a	GOOD	"些 fits quantifier ""few, some"""	1
cmn	交响	=	08248856-n	BAD	truncated, actual word is 交响乐团	3
cmn	交锋	=	01078783-v	GOOD	"交锋 fits ""confront, oppose"""	1
cmn	交锋	=	01092366-v	GOOD	"交锋 fits ""battle, combat"""	1
cmn	享	=	02295550-v	BAD	truncated, actual word is 共享	4
cmn	人	=	09620794-n	BAD	"generic ""person"", not ""native/indigenous"""	1
cmn	他	=	04833276-n	BAD	truncated, actual word is 利他	1
cmn	付诸于党	=	01640855-v	BAD	compositional phrase with 于党 object	1
cmn	付诸于党	=	08256968-n	BAD	compositional phrase, not synonym for party	1
cmn	付诸实施	=	01640855-v	GOOD	"fixed phrase matches ""carry out, execute"""	1
cmn	付诸实施	=	02560164-v	GOOD	"fixed phrase matches ""implement, enforce"""	1
cmn	以往	=	00118965-r	GOOD	"以往 fits ""formerly, at previous time"""	1
cmn	件事	=	05671325-n	GOOD	"件事 fits ""thing, matter, affair"""	1
cmn	件数	=	08462320-n	BAD	"means item count, not ""information/data"""	1
cmn	会员们	=	10307234-n	GOOD	plural of member, 们 is grammatical marker	1
cmn	位置 上	=	00027167-n	GOOD	"位置 core meaning matches ""location"""	1
cmn	体力	=	05035353-n	GOOD	"体力 fits ""physical strength/force"""	1
cmn	佛	=	80002057-n	BAD	truncated, actual word is 佛头	1
cmn	你瞧	=	00591115-v	BAD	tokenization error, includes extraneous 你	1
cmn	佳品	=	01123148-a	BAD	wrong POS, noun tagged as adjective	2
cmn	佳品	=	03748886-n	BAD	"compositional, drops ""佳"" qualifier"	2
cmn	佳处	=	00027167-n	BAD	compositional, comment flags tokenization	2
cmn	佳处	=	00188137-r	BAD	wrong POS, noun tagged as adverb	2
cmn	佳酿	=	01586752-a	BAD	wrong POS, noun tagged as adjective	2
cmn	佳酿	=	07891726-n	BAD	compositional, comment flags tokenization	2
cmn	供	=	00183053-a	BAD	sense from 可供, not 供 alone	1
cmn	供	=	02327200-v	GOOD	"供 fits ""provide, supply"""	1
cmn	保健	=	08302724-n	BAD	truncated, actual term is 世界保健机构	1
cmn	候车	=	00720063-v	BAD	compositional, comment flags tokenization	1
cmn	候车	=	04468005-n	BAD	wrong POS/sense, verb phrase tagged as train	1
cmn	值得一提	=	02646378-v	BAD	"compositional, broader than ""deserve"" alone"	3
cmn	值得一提	=	06766190-n	BAD	wrong POS, verb phrase tagged as noun	3
cmn	假使	=	00164751-r	GOOD	"假使 fits ""if, in case"" conditional sense"	1
cmn	偏	=	00688261-v	BAD	wrong POS, part of MWE 偏靠, means biased	1
cmn	做好	=	01806109-v	BAD	"needs 准备 to mean ""prepare"", incomplete MWE"	1
cmn	充分考虑	=	00010466-r	BAD	wrong POS, verb phrase tagged as adverb	1
cmn	充分考虑	=	02166460-v	BAD	compositional, comment flags split	1
cmn	先驱	~	10434725-n	BAD	referent is party name 先驱党, not generic pioneer	1
cmn	克拉克	=	90000213-n	BAD	truncated, actual place is 克拉克码头	1
cmn	入	~	02460483-v	BAD	truncated, part of MWE 入驻	6
cmn	入	~	07370125-n	BAD	wrong POS, truncated, part of MWE 入驻	10
cmn	全家	=	00514884-a	BAD	wrong POS, noun phrase tagged as adjective	2
cmn	全家	=	08078020-n	BAD	"compositional, drops ""全"" qualifier"	2
cmn	全神贯注地	=	04865722-n	GOOD	"core idiom matches ""intentness"", 地 is suffix"	1
cmn	关窗	=	01345109-v	BAD	"compositional VO phrase, not bare ""close"""	1
cmn	关窗	=	04587648-n	BAD	wrong POS, verb phrase tagged as noun	1
cmn	兴起	=	07324917-n	BAD	wrong POS, used verbally, tagged as noun	1
cmn	具	=	02630871-v	GOOD	具 formally means possess/have	1
cmn	农民们	=	10078806-n	GOOD	plural of farmer, 们 is grammatical marker	3
cmn	冰	=	80000468-n	BAD	truncated, actual dish is 红豆冰	4
cmn	冻结	=	02559752-v	GOOD	"冻结 fits ""halt, block, stop"" figuratively"	1
cmn	减至	=	00151689-v	GOOD	"减 core meaning matches ""decrease"""	1
cmn	出	~	01752884-v	GOOD	resultative complement sense of 出, legitimate	107
cmn	出	~	02019574-v	GOOD	"出 in 不出所料 fits ""overstep, exceed"""	2
cmn	出来	=	00935141-v	GOOD	"出来 fits ""come out, be made known"""	1
cmn	出生	=	15276427-n	BAD	"means birth count, not ""birthrate"" ratio"	5
cmn	刀叉	=	03153375-n	GOOD	刀叉 is standalone word for cutlery	1
cmn	分化	=	02431320-v	GOOD	"分化 fits ""split, break up (relation)"""	1
cmn	分得	=	02718309-v	BAD	"means receive a portion, not ""share jointly"""	1
cmn	创	=	05833840-n	BAD	truncated, actual word is 创想	1
cmn	判明	=	00918872-v	GOOD	"判明 fits ""ascertain, determine"""	2
cmn	利	=	04833276-n	BAD	truncated, actual word is 利他	1
cmn	到´	=	02169702-v	BAD	tokenization error, real word is 听到	1
cmn	到此	=	02020590-v	GOOD	"到此 fits ""arrive at, reach destination"""	1
cmn	到此	=	77000075-n	BAD	wrong POS/sense, verb phrase tagged as pronoun	1
cmn	前	=	01935233-v	BAD	truncated, part of MWE 前去/前往	4
cmn	副秘书长	=	00793250-a	BAD	wrong POS, noun title tagged as adjective	1
cmn	副秘书长	=	10573829-n	BAD	"deputy rank, not plain ""Secretary General"""	1
cmn	办公	=	03841666-n	BAD	truncated verb sense, actual noun is 办公场所	1
cmn	加上	=	00182406-v	GOOD	"加上 fits ""add, make an addition"""	4
cmn	加在	=	02745172-v	GOOD	"core 加 matches ""add"", 在 is locative particle"	1
cmn	北上	=	00244043-r	GOOD	"lexicalised directional term ""go north"""	2
cmn	医师们	=	10020890-n	GOOD	plural of doctor, 们 is grammatical marker	1
cmn	十一日	<	15157225-n	BAD	date reference, wrong sense (observance day)	1
cmn	十一点	<	00197182-r	GOOD	"specific time as hyponym of ""o'clock"""	1
cmn	十一点	=	00197182-r	BAD	specific hour, not synonym of generic o'clock	2
cmn	十三日	<	15157225-n	BAD	date reference, wrong sense (observance day)	1
cmn	十四日	<	15157225-n	BAD	date reference, wrong sense (observance day)	2
cmn	十日	<	15157225-n	BAD	date reference, wrong sense (observance day)	2
cmn	华里	=	80000170-n	BAD	truncated, actual name is 斯里华里山舞团	4
cmn	协议	=	07148192-n	BAD	means agreement (result), not negotiation	1
cmn	卓识	=	80001857-n	BAD	part of idiom 远见卓识, comment flags truncation	1
cmn	卓锦	=	80001397-n	BAD	truncated, actual name is 卓锦万代兰	1
cmn	单	=	80000706-n	BAD	truncated, actual term is 单马车	3
cmn	卖给	=	02727883-v	GOOD	"卖给 fits ""sell"", 给 is directional complement"	1
cmn	南	=	12356960-n	BAD	truncated, actual term is 南姜 (galangal)	1
cmn	占	=	02649493-v	GOOD	"占 fits ""take up, account for (share)"""	2
cmn	卡	=	09526703-n	BAD	truncated, actual term is 卡里女神	1
cmn	卡保	=	80001305-n	BAD	truncated, actual term is 米南卡保	1
cmn	卡瓦	=	80000452-n	BAD	truncated, actual term is 卡瓦第	1
cmn	印象深刻	=	00692762-a	BAD	compositional, comment flags tokenization error	2
cmn	印象深刻	=	05916739-n	BAD	wrong POS, adjective phrase tagged as noun	2
cmn	即	=	00524607-a	BAD	truncated, part of pattern 即不是...也不是	1
cmn	卷土重来	=	00051077-n	GOOD	"idiom directly matches ""comeback"""	1
cmn	历届	=	80001861-a	GOOD	"历届 fits ""successive, previous iterations"""	1
cmn	历经	=	02110220-v	GOOD	"历经 fits ""go through, experience"""	1
cmn	压迫	=	10379758-n	BAD	truncated, actual word is 压迫者 (agent noun)	1
cmn	原委	=	13791389-n	GOOD	"原委 fits causal ""connection"" between events"	1
cmn	厨	=	09963574-n	BAD	truncated, actual word is 大厨	7
cmn	厨	=	80000687-n	BAD	truncated, actual word is 厨艺	2
cmn	厨	=	90000126-n	BAD	truncated, actual name is 翡翠小厨	3
cmn	参赛者们	=	10439851-n	GOOD	plural of participant, 们 is grammatical marker	1
cmn	参赛队	=	08208560-n	GOOD	"参赛队 fits ""team, squad"" directly"	3
cmn	及	=	02021532-v	BAD	tokenization error, real phrase is 来不及	1
cmn	反发布	=	00967625-v	BAD	"反 negates meaning, opposite of ""publish"""	1
cmn	反发布	=	01817405-a	BAD	compositional, drops object 发布	1
cmn	反日	=	01817405-a	BAD	"compositional anti-Japanese, not plain ""anti"""	2
